date,home_team,score,away_team
05-08-2022,Crystal Palace,0 - 2,Arsenal
13-08-2022,Arsenal,4 - 2,Leicester
20-08-2022,Bournemouth,0 - 3,Arsenal
27-08-2022,Arsenal,2 - 1,Fulham
31-08-2022,Arsenal,2 - 1,Aston Villa
04-09-2022,Man United,3 - 1,Arsenal
18-09-2022,Brentford,0 - 3,Arsenal
01-10-2022,Arsenal,3 - 1,Tottenham
09-10-2022,Arsenal,3 - 2,Liverpool
16-10-2022,Leeds,0 - 1,Arsenal
23-10-2022,Southampton,1 - 1,Arsenal
30-10-2022,Arsenal,5 - 0,Nott'm Forest
06-11-2022,Chelsea,0 - 1,Arsenal
12-11-2022,Wolves,0 - 2,Arsenal
26-12-2022,Arsenal,3 - 1,West Ham
31-12-2022,Brighton,2 - 4,Arsenal
03-01-2023,Arsenal,0 - 0,Newcastle
15-01-2023,Tottenham,0 - 2,Arsenal
22-01-2023,Arsenal,3 - 2,Man United
04-02-2023,Everton,1 - 0,Arsenal
11-02-2023,Arsenal,1 - 1,Brentford
15-02-2023,Arsenal,1 - 3,Man City
18-02-2023,Aston Villa,2 - 4,Arsenal
25-02-2023,Leicester,0 - 1,Arsenal
01-03-2023,Arsenal,4 - 0,Everton
04-03-2023,Arsenal,3 - 2,Bournemouth
12-03-2023,Fulham,0 - 3,Arsenal
19-03-2023,Arsenal,4 - 1,Crystal Palace
01-04-2023,Arsenal,4 - 1,Leeds
09-04-2023,Liverpool,2 - 2,Arsenal
16-04-2023,West Ham,2 - 2,Arsenal
21-04-2023,Arsenal,3 - 3,Southampton
26-04-2023,Man City,4 - 1,Arsenal
02-05-2023,Arsenal,3 - 1,Chelsea
07-05-2023,Newcastle,? - ?,Arsenal
06-08-2022,Bournemouth,2 - 0,Aston Villa
13-08-2022,Aston Villa,2 - 1,Everton
20-08-2022,Crystal Palace,3 - 1,Aston Villa
28-08-2022,Aston Villa,0 - 1,West Ham
31-08-2022,Arsenal,2 - 1,Aston Villa
03-09-2022,Aston Villa,1 - 1,Man City
16-09-2022,Aston Villa,1 - 0,Southampton
02-10-2022,Leeds,0 - 0,Aston Villa
10-10-2022,Nott'm Forest,1 - 1,Aston Villa
16-10-2022,Aston Villa,0 - 2,Chelsea
20-10-2022,Fulham,3 - 0,Aston Villa
23-10-2022,Aston Villa,4 - 0,Brentford
29-10-2022,Newcastle,4 - 0,Aston Villa
06-11-2022,Aston Villa,3 - 1,Man United
13-11-2022,Brighton,1 - 2,Aston Villa
26-12-2022,Aston Villa,1 - 3,Liverpool
01-01-2023,Tottenham,0 - 2,Aston Villa
04-01-2023,Aston Villa,1 - 1,Wolves
13-01-2023,Aston Villa,2 - 1,Leeds
21-01-2023,Southampton,0 - 1,Aston Villa
04-02-2023,Aston Villa,2 - 4,Leicester
12-02-2023,Man City,3 - 1,Aston Villa
18-02-2023,Aston Villa,2 - 4,Arsenal
25-02-2023,Everton,0 - 2,Aston Villa
04-03-2023,Aston Villa,1 - 0,Crystal Palace
12-03-2023,West Ham,1 - 1,Aston Villa
18-03-2023,Aston Villa,3 - 0,Bournemouth
01-04-2023,Chelsea,0 - 2,Aston Villa
04-04-2023,Leicester,1 - 2,Aston Villa
08-04-2023,Aston Villa,2 - 0,Nott'm Forest
15-04-2023,Aston Villa,3 - 0,Newcastle
22-04-2023,Brentford,1 - 1,Aston Villa
25-04-2023,Aston Villa,1 - 0,Fulham
30-04-2023,Man United,1 - 0,Aston Villa
06-05-2023,Wolves,? - ?,Aston Villa
06-08-2022,Bournemouth,2 - 0,Aston Villa
13-08-2022,Man City,4 - 0,Bournemouth
20-08-2022,Bournemouth,0 - 3,Arsenal
27-08-2022,Liverpool,9 - 0,Bournemouth
31-08-2022,Bournemouth,0 - 0,Wolves
03-09-2022,Nott'm Forest,2 - 3,Bournemouth
17-09-2022,Newcastle,1 - 1,Bournemouth
01-10-2022,Bournemouth,0 - 0,Brentford
08-10-2022,Bournemouth,2 - 1,Leicester
15-10-2022,Fulham,2 - 2,Bournemouth
19-10-2022,Bournemouth,0 - 1,Southampton
24-10-2022,West Ham,2 - 0,Bournemouth
29-10-2022,Bournemouth,2 - 3,Tottenham
05-11-2022,Leeds,4 - 3,Bournemouth
12-11-2022,Bournemouth,3 - 0,Everton
27-12-2022,Chelsea,2 - 0,Bournemouth
31-12-2022,Bournemouth,0 - 2,Crystal Palace
03-01-2023,Man United,3 - 0,Bournemouth
14-01-2023,Brentford,2 - 0,Bournemouth
21-01-2023,Bournemouth,1 - 1,Nott'm Forest
04-02-2023,Brighton,1 - 0,Bournemouth
11-02-2023,Bournemouth,1 - 1,Newcastle
18-02-2023,Wolves,0 - 1,Bournemouth
25-02-2023,Bournemouth,1 - 4,Man City
04-03-2023,Arsenal,3 - 2,Bournemouth
11-03-2023,Bournemouth,1 - 0,Liverpool
18-03-2023,Aston Villa,3 - 0,Bournemouth
01-04-2023,Bournemouth,2 - 1,Fulham
04-04-2023,Bournemouth,0 - 2,Brighton
08-04-2023,Leicester,0 - 1,Bournemouth
15-04-2023,Tottenham,2 - 3,Bournemouth
23-04-2023,Bournemouth,0 - 4,West Ham
27-04-2023,Southampton,0 - 1,Bournemouth
30-04-2023,Bournemouth,4 - 1,Leeds
06-05-2023,Bournemouth,? - ?,Chelsea
07-08-2022,Leicester,2 - 2,Brentford
13-08-2022,Brentford,4 - 0,Man United
20-08-2022,Fulham,3 - 2,Brentford
27-08-2022,Brentford,1 - 1,Everton
30-08-2022,Crystal Palace,1 - 1,Brentford
03-09-2022,Brentford,5 - 2,Leeds
18-09-2022,Brentford,0 - 3,Arsenal
01-10-2022,Bournemouth,0 - 0,Brentford
08-10-2022,Newcastle,5 - 1,Brentford
14-10-2022,Brentford,2 - 0,Brighton
19-10-2022,Brentford,0 - 0,Chelsea
23-10-2022,Aston Villa,4 - 0,Brentford
29-10-2022,Brentford,1 - 1,Wolves
05-11-2022,Nott'm Forest,2 - 2,Brentford
12-11-2022,Man City,1 - 2,Brentford
26-12-2022,Brentford,2 - 2,Tottenham
30-12-2022,West Ham,0 - 2,Brentford
02-01-2023,Brentford,3 - 1,Liverpool
14-01-2023,Brentford,2 - 0,Bournemouth
22-01-2023,Leeds,0 - 0,Brentford
04-02-2023,Brentford,3 - 0,Southampton
11-02-2023,Arsenal,1 - 1,Brentford
18-02-2023,Brentford,1 - 1,Crystal Palace
06-03-2023,Brentford,3 - 2,Fulham
11-03-2023,Everton,1 - 0,Brentford
15-03-2023,Southampton,0 - 2,Brentford
18-03-2023,Brentford,1 - 1,Leicester
01-04-2023,Brighton,3 - 3,Brentford
05-04-2023,Man United,1 - 0,Brentford
08-04-2023,Brentford,1 - 2,Newcastle
15-04-2023,Wolves,2 - 0,Brentford
22-04-2023,Brentford,1 - 1,Aston Villa
26-04-2023,Chelsea,0 - 2,Brentford
29-04-2023,Brentford,2 - 1,Nott'm Forest
06-05-2023,Liverpool,? - ?,Brentford
